"ID","STD ABBR","STD NAME","DST ABBR","DST NAME","GMT offset","DST adjustment","DST Start Date rule","Start time","DST End date rule","End time"
"Antarctica/Vostok","VOST","Vostok Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Arctic/Longyearbyen","CET","Central European Time","CEST","Central European Summer Time","+01:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Aden","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Almaty","ALMT","Almaty Time","ALMST","Almaty Summer Time","+06:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+00:00:00"
"Asia/Amman","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;4;3","+00:00:00","-1;4;9","+01:00:00"
"Asia/Anadyr","ANAT","Anadyr Time","ANAST","Anadyr Summer Time","+12:00:00","+01:00:00","-1;0;3","+02:00:00","-1;0;10","+03:00:00"
"Asia/Aqtau","AQTT","Aqtau Time","AQTST","Aqtau Summer Time","+04:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+00:00:00"
"Asia/Aqtobe","AQTT","Aqtobe Time","AQTST","Aqtobe Summer Time","+05:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+00:00:00"
"Asia/Ashgabat","TMT","Turkmenistan Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Atyrau","+05","Atyrau Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Baghdad","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Bahrain","AST","Arabia Standard Time","","","+03:00:00","+00:00:00","","","","+00:00:00"
"Asia/Baku","AZT","Azerbaijan Time","AZST","Azerbaijan Summer Time","+04:00:00","+01:00:00","-1;0;3","+01:00:00","-1;0;10","+01:00:00"
"Asia/Bangkok","ICT","Indochina Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Barnaul","+07","Barnaul Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Beirut","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","-1;0;3","+00:00:00","-1;0;10","+00:00:00"
"Asia/Bishkek","KGT","Kyrgyzstan Time","KGST","Kyrgyzstan Summer Time","+05:00:00","+01:00:00","-1;0;3","+02:30:00","-1;0;10","+02:30:00"
"Asia/Brunei","BNT","Brunei Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Kolkata","IST","Indian Standard Time","","","+05:30:00","+00:00:00","","","","+00:00:00"
"Asia/Chita","+09","Chita Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Choibalsan","CHOT","Choibalsan Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Chongqing","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Colombo","IST","India Standard Time","","","+05:30:00","+00:00:00","","","","+00:00:00"
"Asia/Damascus","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","1;0;4","+00:00:00","1;0;10","+00:00:00"
"Asia/Dhaka","BDT","Bangladesh Time","","","+06:00:00","+00:00:00","","","","+00:00:00"
"Asia/Dili","TPT","Timor Leste Time","","","+09:00:00","+00:00:00","","","","+00:00:00"
"Asia/Dubai","GST","Gulf Standard Time","","","+04:00:00","+00:00:00","","","","+00:00:00"
"Asia/Dushanbe","TJT","Tajikistan Time","","","+05:00:00","+00:00:00","","","","+00:00:00"
"Asia/Famagusta","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","3;0;3","+01:00:00","3;0;10","+01:00:00"
"Asia/Gaza","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","3;5;4","+00:00:00","3;5;10","+00:00:00"
"Asia/Harbin","CST","China Standard Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Hebron","EET","Eastern European Time","EEST","Eastern European Summer Time","+02:00:00","+01:00:00","3;0;3","+01:00:00","3;0;10","+01:00:00"
"Asia/Ho_Chi_Minh","ICT","Indochina Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
"Asia/Hong_Kong","HKT","Hong Kong Time","","","+08:00:00","+00:00:00","","","","+00:00:00"
"Asia/Hovd","HOVT","Hovd Time","","","+07:00:00","+00:00:00","","","","+00:00:00"
